All Packages,I9500-sysconf,slp-basefw,slp-sensorfw,slp-netfw,slp-winfw,slp-mmfw,slp-uifw,slp-api,slp-appfw,slp-apps
screencapture,,x,,,,,,,,
sdbd,,x,,,,,,,,
security-server,,x,,,,,,,,
sensor,,,x,,,,,,,
sensor-framework,,,x,,,,,,,
settings-beat,,,,,,,,,,x
sf-plugin-ak8975,,,x,,,,,,,
sf-plugin-bma023,,,x,,,,,,,
sf-plugin-cm3623ambi,,,x,,,,,,,
sf-plugin-cm3623proxi,,,x,,,,,,,
sf-plugin-filter-ak8973b,,,x,,,,,,,
sf-plugin-filter-bma023,,,x,,,,,,,
sf-plugin-filter-cm3623ambi,,,x,,,,,,,
sf-plugin-filter-cm3623proxi,,,x,,,,,,,
sf-plugin-filter-gp2ap002ambi,,,x,,,,,,,
sf-plugin-filter-gp2ap002proxi,,,x,,,,,,,
sf-plugin-filter-motion,,,x,,,,,,,
sf-plugin-filter-yas529,,,x,,,,,,,
sf-plugin-gp2ap002ambi,,,x,,,,,,,
sf-plugin-gp2ap002proxi,,,x,,,,,,,
sf-plugin-kr3dm,,,x,,,,,,,
sf-plugin-l3g4200d,,,x,,,,,,,
sf-plugin-proc-bma023,,,x,,,,,,,
sf-plugin-proc-cm3623ambi,,,x,,,,,,,
sf-plugin-proc-cm3623proxi,,,x,,,,,,,
sf-plugin-proc-gp2ap002ambi,,,x,,,,,,,
sf-plugin-proc-gp2ap002proxi,,,x,,,,,,,
sf-plugin-proc-kr3dm,,,x,,,,,,,
sf-plugin-proc-motion,,,x,,,,,,,
sf-plugin-proc-yas529,,,x,,,,,,,
sf-plugin-yas529,,,x,,,,,,,
sf-plugin-yas530,,,x,,,,,,,
shadow-utils,,x,,,,,,,,
shared-mime-info,,x,,,,,,,,
shortcut,,x,,,,,,,,
slp-fonts-arabic,,x,,,,,,,,
slp-fonts-basic,,x,,,,,,,,
slp-fonts-fallback,,x,,,,,,,,
slp-fonts-hebrew,,x,,,,,,,,
slp-fonts-helvetica,,x,,,,,,,,
slp-fonts-india,,x,,,,,,,,
slp-fonts-japanese,,x,,,,,,,,
slp-fonts-korean,,x,,,,,,,,
slp-fonts-thai,,x,,,,,,,,
